GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Tipo Receita; Premio Bruto ;% Receita para XIPP; Receita Bruta da Corretora XIPP ;  % Impostos retidos; Impostos retidos ; Receita recebida pela Corretora XIPP ;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar ;
Mangabeira;Sheyla;4You;Parceiro;01/01/2024;Small;Mangabeira;17.988.226/0001-45;Porto;Saúde;Est. Agenciamento;-R$ 2.768,74 ;100,00%;-R$ 2.768,74 ;3,50%;-R$ 96,91 ;-R$ 2.671,83 ;14,25%; R$ -   ;-R$ 2.291,10 ;30,00%;-R$ 687,33 ;
Mangabeira;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Small;Mangabeira;17.988.226/0001-45;Porto;Saúde;Est. Agenciamento;-R$ 2.768,74 ;100,00%;-R$ 2.768,74 ;6,50%;-R$ 179,97 ;-R$ 2.588,77 ;14,25%;-R$ 368,90 ;-R$ 2.219,87 ;20,00%;-R$ 443,97 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;Comissão;-R$ 167,30 ;5,00%;-R$ 8,37 ;350,00%;-R$ 0,29 ;-R$ 8,08 ;14,25%;-R$ 1,15 ;-R$ 6,93 ;10,00%;-R$ 0,70 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;Comissão;-R$ 146,29 ;5,00%;-R$ 7,31 ;350,00%;-R$ 0,26 ;-R$ 7,05 ;14,25%;-R$ 1,00 ;-R$ 6,05 ;10,00%;-R$ 0,60 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;Comissão;-R$ 93,09 ;5,00%;-R$ 4,65 ;350,00%;-R$ 0,16 ;-R$ 4,49 ;14,25%;-R$ 0,64 ;-R$ 3,85 ;10,00%;-R$ 0,38 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2023;Middle;Zangari;43.454.594/0001-13;Unimed;Saúde;Comissão;-R$ 53,19 ;5,00%;-R$ 2,66 ;350,00%;-R$ 0,09 ;-R$ 2,57 ;14,25%;-R$ 0,37 ;-R$ 2,20 ;10,00%;-R$ 0,22 ;
Alta Vista;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Alta Vista;09.436.110/0001-75;Seguros Unimed;Saúde;Agenciamento; R$ 100.511,55 ;100,00%; R$ 100.511,55 ;6,50%; R$ 6.533,25 ; R$ 93.978,30 ;14,25%; R$ -   ; R$ 80.586,39 ;30,00%; R$ 24.175,92 ;
AIS WSI;João Grael;Grael;Parceiro;01/12/2023;Middle;"	AIS WSI do Brasil";17.495.999/0001-90;Bradesco;Saúde;Comissão; R$ 264.609,32 ;10,00%; R$ 26.460,93 ;3,50%; R$ 926,13 ; R$ 25.534,80 ;14,25%; R$ -   ; R$ 21.896,09 ;30,00%; R$ 6.568,83 ;
Matec;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Matec;64.978.646/0001-20;Porto;Saúde;Comissão; R$ 162.438,53 ;5,00%; R$ 8.121,93 ;3,50%; R$ 284,27 ; R$ 7.837,66 ;14,25%; R$ -   ; R$ 6.720,79 ;30,00%; R$ 2.016,24 ;
Matec;Andre Albo;Alta Vista;Parceiro;01/11/2023;Middle;Matec;64.978.646/0001-20;Porto;Saúde;Comissão; R$ 160.730,17 ;5,00%; R$ 8.036,51 ;3,50%; R$ 281,28 ; R$ 7.755,23 ;14,25%; R$ -   ; R$ 6.650,11 ;30,00%; R$ 1.995,03 ;
Matec;Andre Albo;Alta Vista;Parceiro;01/11/2023;Middle;Matec;64.978.646/0001-20;Porto;Saúde;Comissão; R$ 133.593,75 ;5,00%; R$ 6.679,69 ;3,50%; R$ 233,79 ; R$ 6.445,90 ;14,25%; R$ -   ; R$ 5.527,36 ;30,00%; R$ 1.658,21 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/11/2023;Middle;Bobinex;60.936.085/0001-46;Amil;Saúde;Agenciamento; R$ 24.746,14 ;50,00%; R$ 12.373,07 ;1,50%; R$ 185,60 ; R$ 12.187,47 ;14,25%; R$ -   ; R$ 10.450,76 ;50,00%; R$ 5.225,38 ;
Alta Vista;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Alta Vista;18.582.982/0001-32;Seguros Unimed;Saúde;Agenciamento; R$ 2.503,49 ;100,00%; R$ 2.503,49 ;6,50%; R$ 162,73 ; R$ 2.340,76 ;14,25%; R$ -   ; R$ 2.007,20 ;30,00%; R$ 602,16 ;
Alea;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Alea;93.720.464/0103-88;Unimed Seguros;Vida ;Comissão; R$ 15.189,40 ;15,00%; R$ 2.278,41 ;6,50%; R$ 148,10 ; R$ 2.130,31 ;14,25%; R$ -   ; R$ 1.826,74 ;50,00%; R$ 913,37 ;
Alea;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Alea;93.720.464/0103-88;Odontoprev;Odonto;Comissão; R$ 13.869,94 ;10,00%; R$ 1.386,99 ;6,50%; R$ 90,15 ; R$ 1.296,84 ;14,25%; R$ -   ; R$ 1.112,04 ;50,00%; R$ 556,02 ;
Ftx;Andre Albo;Alta Vista;Parceiro;01/11/2023;Small;Ftx;15.510.931/0001-07;Bradesco;Saúde;Agenciamento; R$ 2.340,01 ;100,00%; R$ 2.340,01 ;3,50%; R$ 81,90 ; R$ 2.258,11 ;14,25%; R$ -   ; R$ 1.936,33 ;30,00%; R$ 580,90 ;
Ftx;Andre Albo;Alta Vista;Parceiro;01/12/2023;Small;Ftx;15.510.931/0001-07;Bradesco;Saúde;Agenciamento; R$ 2.340,01 ;100,00%; R$ 2.340,01 ;3,50%; R$ 81,90 ; R$ 2.258,11 ;14,25%; R$ -   ; R$ 1.936,33 ;30,00%; R$ 580,90 ;
Alta Vista;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Alta Vista;13.013.449/0001-36;Seguros Unimed;Saúde;Agenciamento; R$ 1.181,27 ;100,00%; R$ 1.181,27 ;6,50%; R$ 76,78 ; R$ 1.104,49 ;14,25%; R$ -   ; R$ 947,10 ;30,00%; R$ 284,13 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/11/2023;Middle;Bobinex;22.083.049/0001-98;Amil;Saúde;Agenciamento; R$ 10.185,62 ;50,00%; R$ 5.092,81 ;1,50%; R$ 76,39 ; R$ 5.016,42 ;14,25%; R$ -   ; R$ 4.301,58 ;50,00%; R$ 2.150,79 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;22.083.049/0001-98;Amil;Saúde;Agenciamento; R$ 10.185,62 ;50,00%; R$ 5.092,81 ;1,50%; R$ 76,39 ; R$ 5.016,42 ;14,25%; R$ -   ; R$ 4.301,58 ;50,00%; R$ 2.150,79 ;
Tutto;Rafael Galhardo;Messem;Parceiro;01/12/2023;Corporate;Alea;93.720.464/0103-88;Odontoprev;Odonto;Comissão; R$ 11.621,55 ;10,00%; R$ 1.162,16 ;6,50%; R$ 75,54 ; R$ 1.086,61 ;14,25%; R$ -   ; R$ 931,77 ;50,00%; R$ 465,89 ;
Mtd;Andre Albo;Alta Vista;Parceiro;01/11/2023;Small;Mtd;42.717.036/0001-30;GNDI;Saúde;Agenciamento; R$ 1.160,88 ;100,00%; R$ 1.160,88 ;6,50%; R$ 75,46 ; R$ 1.085,42 ;14,25%; R$ -   ; R$ 930,75 ;30,00%; R$ 279,23 ;
Mtd;Andre Albo;Alta Vista;Parceiro;01/11/2023;Small;Mtd;42.717.036/0001-30;GNDI;Saúde;Agenciamento; R$ 1.160,88 ;100,00%; R$ 1.160,88 ;6,50%; R$ 75,46 ; R$ 1.085,42 ;14,25%; R$ -   ; R$ 930,75 ;30,00%; R$ 279,23 ;
Mtd;Andre Albo;Alta Vista;Parceiro;01/11/2023;Small;Mtd;42.717.036/0001-30;GNDI;Saúde;Agenciamento; R$ 1.160,88 ;100,00%; R$ 1.160,88 ;6,50%; R$ 75,46 ; R$ 1.085,42 ;14,25%; R$ -   ; R$ 930,75 ;30,00%; R$ 279,23 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;60.936.085/0001-46;Amil;Saúde;Agenciamento; R$ 9.975,84 ;50,00%; R$ 4.987,92 ;1,50%; R$ 74,82 ; R$ 4.913,10 ;14,25%; R$ -   ; R$ 4.212,98 ;50,00%; R$ 2.106,49 ;
Alta Vista;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Alta Vista;09.436.110/0001-75;Metlife;Odonto;Agenciamento; R$ 1.073,67 ;100,00%; R$ 1.073,67 ;6,50%; R$ 69,79 ; R$ 1.003,88 ;14,25%; R$ -   ; R$ 860,83 ;30,00%; R$ 258,25 ;
Alta Vista;Andre Albo;Alta Vista;Parceiro;01/12/2023;Middle;Alta Vista;50.066.555/0001-04;Seguros Unimed;Saúde;Agenciamento; R$ 890,33 ;100,00%; R$ 890,33 ;6,50%; R$ 57,87 ; R$ 832,46 ;14,25%; R$ -   ; R$ 713,83 ;30,00%; R$ 214,15 ;
Tutto;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Tutto Hidraulicos Ltda;10.468.193/0001-63;Metlife;Odonto;Agenciamento; R$ 840,22 ;100,00%; R$ 840,22 ;6,50%; R$ 54,61 ; R$ 785,61 ;14,25%; R$ -   ; R$ 673,66 ;50,00%; R$ 336,83 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Prudential;Saúde;Comissão; R$ 6.615,34 ;40,00%; R$ 2.646,14 ;1,50%; R$ 39,69 ; R$ 2.606,44 ;14,25%; R$ -   ; R$ 2.235,03 ;50,00%; R$ 1.117,51 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Prudential;Saúde;Comissão; R$ 6.566,24 ;40,00%; R$ 2.626,50 ;1,50%; R$ 39,40 ; R$ 2.587,10 ;14,25%; R$ -   ; R$ 2.218,44 ;50,00%; R$ 1.109,22 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Prudential;Saúde;Comissão; R$ 6.468,08 ;40,00%; R$ 2.587,23 ;1,50%; R$ 38,81 ; R$ 2.548,42 ;14,25%; R$ -   ; R$ 2.185,27 ;50,00%; R$ 1.092,64 ;
Mtd;Andre Albo;Alta Vista;Parceiro;01/12/2023;Small;Mtd;42.717.036/0001-30;GNDI;Saúde;Agenciamento; R$ 938,32 ;50,00%; R$ 469,16 ;6,50%; R$ 30,50 ; R$ 438,66 ;14,25%; R$ -   ; R$ 376,15 ;30,00%; R$ 112,85 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/11/2023;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Agenciamento; R$ 1.619,27 ;100,00%; R$ 1.619,27 ;1,50%; R$ 24,29 ; R$ 1.594,98 ;14,25%; R$ -   ; R$ 1.367,70 ;50,00%; R$ 683,85 ;
AIS WSI;João Grael;Grael;Parceiro;01/12/2023;Middle;"	AIS WSI do Brasil";17.495.999/0001-90;Metlife ;Odonto;Comissão; R$ 5.641,90 ;10,00%; R$ 564,19 ;3,50%; R$ 19,75 ; R$ 544,44 ;14,25%; R$ -   ; R$ 466,86 ;30,00%; R$ 140,06 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 63.024,60 ;2,00%; R$ 1.260,49 ;1,50%; R$ 18,91 ; R$ 1.241,58 ;14,25%; R$ -   ; R$ 1.064,66 ;50,00%; R$ 532,33 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/11/2023;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Agenciamento; R$ 2.096,23 ;50,00%; R$ 1.048,12 ;1,50%; R$ 15,72 ; R$ 1.032,39 ;14,25%; R$ -   ; R$ 885,28 ;50,00%; R$ 442,64 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/11/2023;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Agenciamento; R$ 1.961,10 ;50,00%; R$ 980,55 ;1,50%; R$ 14,71 ; R$ 965,84 ;14,25%; R$ -   ; R$ 828,21 ;50,00%; R$ 414,10 ;
Mimosa;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Mimosa Industria e Comercio Ltda;48.193.726/0001-14;Metlife;Odonto;Agenciamento; R$ 195,40 ;100,00%; R$ 195,40 ;6,50%; R$ 12,70 ; R$ 182,70 ;14,25%; R$ -   ; R$ 156,66 ;50,00%; R$ 78,33 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;21.435.954/0001-05;Amil;Saúde;Agenciamento; R$ 1.519,07 ;50,00%; R$ 759,54 ;1,50%; R$ 11,39 ; R$ 748,14 ;14,25%; R$ -   ; R$ 641,53 ;50,00%; R$ 320,77 ;
Alea;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;60.936.085/0001-46;Metlife;Odonto;Agenciamento; R$ 694,47 ;100,00%; R$ 694,47 ;1,50%; R$ 10,42 ; R$ 684,05 ;14,25%; R$ -   ; R$ 586,58 ;50,00%; R$ 293,29 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/11/2023;Middle;Bobinex;21.435.954/0001-05;Amil;Saúde;Agenciamento; R$ 1.388,87 ;50,00%; R$ 694,44 ;1,50%; R$ 10,42 ; R$ 684,02 ;14,25%; R$ -   ; R$ 586,55 ;50,00%; R$ 293,27 ;
Clínica Daniela Pellegrino;Bruno Gass;Monte Bravo;Parceiro;01/11/2023;Small;Clínica Daniela Pellegrino;04.489.022/0001-18;Bradesco;Saúde;Comissão; R$ 10.214,12 ;2,00%; R$ 204,28 ;3,50%; R$ 7,15 ; R$ 197,13 ;14,25%; R$ -   ; R$ 169,04 ;50,00%; R$ 84,52 ;
Clínica Daniela Pellegrino;Bruno Gass;Monte Bravo;Parceiro;01/12/2023;Small;Clínica Daniela Pellegrino;04.489.022/0001-18;Bradesco;Saúde;Comissão; R$ 10.214,12 ;2,00%; R$ 204,28 ;3,50%; R$ 7,15 ; R$ 197,13 ;14,25%; R$ -   ; R$ 169,04 ;50,00%; R$ 84,52 ;
Mimosa;Rafael Galhardo;Messem;Parceiro;01/12/2023;Corporate;Tutto Hidraulicos Ltda;10.468.193/0001-63;Metlife;Odonto;Comissão; R$ 937,92 ;10,00%; R$ 93,79 ;6,50%; R$ 6,10 ; R$ 87,70 ;14,25%; R$ -   ; R$ 75,20 ;50,00%; R$ 37,60 ;
Tutto;Rafael Galhardo;Messem;Parceiro;01/11/2023;Corporate;Tutto Hidraulicos Ltda;10.468.193/0001-63;Metlife;Odonto;Comissão; R$ 840,22 ;10,00%; R$ 84,02 ;6,50%; R$ 5,46 ; R$ 78,56 ;14,25%; R$ -   ; R$ 67,37 ;50,00%; R$ 33,68 ;
Onset;Andre Albo;Alta Vista;Parceiro;01/12/2023;Small;Onset;01.091.850/0001-05;Zurich;Vida;Comissão; R$ 1.066,34 ;20,00%; R$ 213,27 ;2,00%; R$ 4,27 ; R$ 209,00 ;14,25%; R$ -   ; R$ 179,22 ;30,00%; R$ 53,77 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/12/2023;Middle;Bobinex;60.936.085/0001-46;Metlife;Odonto;Agenciamento; R$ 283,81 ;100,00%; R$ 283,81 ;1,50%; R$ 4,26 ; R$ 279,55 ;14,25%; R$ -   ; R$ 239,72 ;50,00%; R$ 119,86 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/11/2023;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Comissão; R$ 2.043,50 ;10,00%; R$ 204,35 ;1,50%; R$ 3,07 ; R$ 201,28 ;14,25%; R$ -   ; R$ 172,60 ;50,00%; R$ 86,30 ;
Metalus;Bruno Gass;Monte Bravo;Parceiro;01/12/2023;Middle;Metalus;77.507.796/0001-06;Amil;Odonto;Comissão; R$ 1.859,41 ;10,00%; R$ 185,94 ;1,50%; R$ 2,79 ; R$ 183,15 ;14,25%; R$ -   ; R$ 157,05 ;50,00%; R$ 78,53 ;
Ipam;Rafael Galhardo;Messem;Parceiro;01/12/2023;Small;Ipam;00.627.727/0003-65;Bradesco;Saúde;Comissão; R$ 5.928,20 ;2,00%; R$ 118,56 ;1,50%; R$ 1,78 ; R$ 116,79 ;14,25%; R$ -   ; R$ 100,14 ;50,00%; R$ 50,07 ;
